You entered a buffer length of 4,,,,,,,,,,,,,,,,,,,,
x,y,z,,,,,,,,,,,x_m1_100,x_m1_20,,y_m2_100,y_m2_20,,z_m3_100,z_m3_20
0.922114,1.006104,0.922114,0.970854,0.224562,0.286822,0.212721,0.242081,0.08991,0.08991,-0.142037,-0.046908,,0.922114,0.86254,,0.867301,-0.296222,,0.225661,0.216261
0.933956,1.006104,0.922114,0.964781,0.218092,0.244217,0.212721,0.224898,0.138131,0.138131,-0.142037,-0.005555,,0.933956,0.88659,,0.963987,-0.233352,,0.131295,0.008851
0.944699,0.996948,0.922114,0.949429,0.167063,0.224562,0.167063,0.20561,-0.011781,0.138131,-0.108222,0.02701,,0.944699,0.916499,,0.729231,-0.313435,,0.079656,0.159006
0.970945,0.970945,0.922114,0.942928,0.12458,0.224562,0.12458,0.183574,-0.157786,0.138131,-0.157786,0.014618,,0.970945,0.859977,,0.641335,-0.399011,,0.041445,0.139474
0.923213,0.970945,0.923213,0.943203,0.083074,0.218092,0.083074,0.148202,-0.172313,0.138131,-0.172313,-0.050937,,0.923213,0.834707,,0.72032,-0.357749,,0.086736,0.097479
0.907099,0.970945,0.907099,0.936489,0.104926,0.167063,0.083074,0.119911,-0.114448,-0.011781,-0.172313,-0.114082,,0.907099,0.516816,,0.646707,-0.324666,,0.055851,0.107978
0.93127,0.970945,0.907099,0.933132,0.13105,0.13105,0.083074,0.110908,-0.099188,-0.099188,-0.172313,-0.135934,,0.93127,0.3901,,0.530367,-0.345175,,0.016908,0.069401
0.988158,0.988158,0.907099,0.937435,0.12397,0.13105,0.083074,0.110755,-0.090521,-0.090521,-0.172313,-0.119118,,0.988158,0.340902,,0.650858,-0.383141,,-0.065373,0.222243
1.007813,1.007813,0.907099,0.958585,0.088079,0.13105,0.088079,0.112006,-0.090887,-0.090521,-0.114448,-0.098761,,1.007813,0.351523,,0.55991,-0.349203,,-0.080266,0.425624
1.010865,1.010865,0.93127,0.984526,0.076726,0.13105,0.076726,0.104956,-0.060612,-0.060612,-0.099188,-0.085302,,1.010865,0.235061,,0.479216,-0.337606,,-0.054386,0.459318
1.004395,1.010865,0.988158,1.002808,0.085149,0.12397,0.076726,0.093481,-0.031679,-0.031679,-0.090887,-0.068425,,1.004395,0.157908,,0.434536,-0.381798,,0.053897,0.424525
0.99939,1.010865,0.99939,1.005616,0.137276,0.137276,0.076726,0.096808,-0.027406,-0.027406,-0.090887,-0.052646,,0.99939,0.12983,,0.404505,-0.452359,,0.035342,0.327596
1.033205,1.033205,0.99939,1.011964,0.193066,0.193066,0.076726,0.123054,-0.043399,-0.027406,-0.060612,-0.040774,,1.033205,0.070378,,0.375572,-0.418666,,0.046329,0.211133
1.034304,1.034304,0.99939,1.017823,0.219679,0.219679,0.085149,0.158793,-0.047427,-0.027406,-0.047427,-0.037478,,1.034304,-0.00531,,0.267045,-0.426723,,-0.020692,0.144357
1.00354,1.034304,0.99939,1.01761,0.234694,0.234694,0.137276,0.196179,-0.078923,-0.027406,-0.078923,-0.049289,,1.00354,-0.002869,,0.219191,-0.403894,,-0.046084,0.105536
0.982787,1.034304,0.982787,1.013459,0.257523,0.257523,0.193066,0.226241,-0.117012,-0.043399,-0.117012,-0.07169,,0.982787,-0.048648,,0.337118,-0.382286,,-0.106025,0.115547
0.98413,1.034304,0.982787,1.00119,0.302081,0.302081,0.219679,0.253494,-0.098334,-0.047427,-0.117012,-0.085424,,0.98413,-0.0329,,0.330159,-0.372642,,-0.006775,0.192578
0.977416,1.00354,0.977416,0.986968,0.335165,0.335165,0.234694,0.282366,-0.058292,-0.058292,-0.117012,-0.08814,,0.977416,-0.044497,,0.227614,-0.260697,,0.098212,0.317829
0.870476,0.98413,0.870476,0.953702,0.389855,0.389855,0.257523,0.321156,-0.003601,-0.003601,-0.117012,-0.06931,,0.870476,-0.081365,,0.0329,-0.356162,,0.097845,0.249344
0.847891,0.98413,0.847891,0.919978,0.423061,0.423061,0.302081,0.362541,-0.011292,-0.003601,-0.098334,-0.04288,,0.847891,-0.0705,,0.156199,-0.387658,,0.111152,0.248611
0.754868,0.977416,0.754868,0.862663,0.49826,0.49826,0.335165,0.411585,0.004334,0.004334,-0.058292,-0.017213,,0.754868,-0.054508,,0.162302,-0.420375,,0.094671,0.316609
0.785265,0.870476,0.754868,0.814625,0.586034,0.586034,0.389855,0.474302,-0.028383,0.004334,-0.028383,-0.009735,,0.785265,-0.078191,,0.156199,-0.293414,,0.103705,0.292193
0.765,0.847891,0.754868,0.788256,0.624611,0.624611,0.423061,0.532992,-0.085393,0.004334,-0.085393,-0.030183,,0.765,-0.050601,,0.163401,-0.231032,,0.132271,0.2209
0.667704,0.785265,0.667704,0.743209,0.677715,0.677715,0.49826,0.596655,-0.048282,0.004334,-0.085393,-0.039431,,0.667704,-0.020082,,0.060856,-0.070256,,0.172679,0.042056
0.638528,0.785265,0.638528,0.714124,0.718,0.718,0.586034,0.65159,-0.051212,-0.028383,-0.085393,-0.053317,,0.638528,0.000916,,0.006043,-0.174388,,0.168528,-0.046573
0.651712,0.765,0.638528,0.680736,0.773668,0.773668,0.624611,0.698498,-0.110297,-0.048282,-0.110297,-0.073796,,0.651712,-0.020936,,0.009217,-0.284014,,0.140573,-0.068913
0.577489,0.667704,0.577489,0.633858,0.812855,0.812855,0.677715,0.745559,-0.108344,-0.048282,-0.110297,-0.079534,,0.577489,-0.074284,,0.025697,-0.263017,,0.129097,-0.019593
0.506806,0.651712,0.506806,0.593634,0.796985,0.812855,0.718,0.775377,-0.013245,-0.013245,-0.110297,-0.070775,,0.506806,-0.046695,,-0.028261,-0.033388,,0.125801,0.001892
0.540377,0.651712,0.506806,0.569096,0.855704,0.855704,0.773668,0.809803,-0.03583,-0.013245,-0.110297,-0.066929,,0.540377,-0.104071,,-0.022645,0.04938,,0.081975,0.019349
0.573582,0.577489,0.506806,0.549563,0.883172,0.883172,0.796985,0.837179,-0.115547,-0.013245,-0.115547,-0.068241,,0.573582,-0.131417,,0.028627,0.068058,,0.107612,-0.055851
0.499359,0.573582,0.499359,0.530031,0.895746,0.895746,0.796985,0.857902,-0.059391,-0.013245,-0.115547,-0.056003,,0.499359,-0.068669,,0.018373,-0.020936,,0.134835,-0.156076
0.402918,0.573582,0.402918,0.504059,0.90014,0.90014,0.855704,0.88369,-0.019105,-0.019105,-0.115547,-0.057468,,0.402918,-0.074651,,-0.015199,0.037661,,0.117256,-0.256058
0.352988,0.573582,0.352988,0.457212,0.911738,0.911738,0.883172,0.897699,0.003357,0.003357,-0.115547,-0.047671,,0.352988,-0.16218,,-0.022157,0.17097,,0.078191,-0.218336
0.335775,0.499359,0.335775,0.39776,0.928707,0.928707,0.895746,0.909083,0.013978,0.013978,-0.059391,-0.01529,,0.335775,-0.29085,,-0.070012,0.343222,,0.119087,-0.097723
0.298541,0.402918,0.298541,0.347555,0.977293,0.977293,0.90014,0.92947,0.026796,0.026796,-0.019105,0.006256,,0.298541,-0.343588,,-0.037783,0.357016,,0.177318,-0.003723
0.288775,0.352988,0.288775,0.31902,0.991577,0.991577,0.911738,0.952329,0.020692,0.026796,0.003357,0.016206,,0.288775,-0.338949,,-0.027773,0.246902,,0.273637,-0.050845
0.270585,0.335775,0.270585,0.298419,0.995971,0.995971,0.928707,0.973387,0.002991,0.026796,0.002991,0.016114,,0.270585,-0.346518,,0.019471,0.281206,,0.356894,-0.097601
0.277788,0.298541,0.270585,0.283922,0.986205,0.995971,0.977293,0.987761,-0.03998,0.026796,-0.03998,0.002625,,0.277788,-0.467253,,0.023378,0.474211,,0.383385,-0.090887
0.30965,0.30965,0.270585,0.286699,0.985839,0.995971,0.985839,0.989898,-0.061832,0.020692,-0.061832,-0.019532,,0.30965,-0.519746,,0.069035,0.597998,,0.415248,-0.05756
0.331014,0.331014,0.270585,0.297259,0.980468,0.995971,0.980468,0.987121,-0.054386,0.002991,-0.061832,-0.038302,,0.331014,-0.529512,,0.0611,0.642923,,0.467619,-0.052554
0.342978,0.342978,0.277788,0.315357,0.984496,0.986205,0.980468,0.984252,0.020692,0.020692,-0.061832,-0.033877,,0.342978,-0.553439,,0.078069,0.603003,,0.552951,-0.005066
0.317463,0.342978,0.30965,0.325276,0.998779,0.998779,0.980468,0.987395,0.04938,0.04938,-0.061832,-0.011536,,0.317463,-0.602515,,0.088812,0.561619,,0.51413,0.02704
0.284136,0.342978,0.284136,0.318898,1.00586,1.00586,0.980468,0.992401,0.033144,0.04938,-0.054386,0.012207,,0.284136,-0.656229,,0.158762,0.627419,,0.486785,0.000061
0.311481,0.342978,0.284136,0.314014,1.00586,1.00586,0.984496,0.998749,-0.002258,0.04938,-0.002258,0.02524,,0.311481,-0.662577,,0.212354,0.698224,,0.472136,-0.063175
0.323567,0.323567,0.284136,0.309162,1.012574,1.012574,0.998779,1.005768,-0.024355,0.04938,-0.024355,0.013978,,0.323567,-0.670756,,0.21858,0.740707,,0.474944,-0.071599
0.294268,0.323567,0.284136,0.303363,1.014771,1.014771,1.00586,1.009766,-0.03937,0.033144,-0.03937,-0.00821,,0.294268,-0.716047,,0.07697,0.885735,,0.432705,-0.01471
0.270707,0.323567,0.270707,0.300006,0.999878,1.014771,0.999878,1.008271,-0.02704,-0.002258,-0.03937,-0.023256,,0.270707,-0.873405,,0.044009,0.910761,,0.351401,-0.003235
0.231521,0.323567,0.231521,0.280016,1.007935,1.014771,0.999878,1.00879,0.006409,0.006409,-0.03937,-0.021089,,0.231521,-0.827504,,0.134469,0.876946,,0.39657,0.054386
0.224806,0.294268,0.224806,0.255325,1.022707,1.022707,0.999878,1.011323,0.032045,0.032045,-0.03937,-0.006989,,0.224806,-0.774156,,0.329915,0.798572,,0.470793,0.089178
0.255082,0.270707,0.224806,0.245529,1.006104,1.022707,0.999878,1.009156,0.001892,0.032045,-0.02704,0.003326,,0.255082,-0.779405,,0.42245,0.875969,,0.644876,0.154489
0.245804,0.255082,0.224806,0.239303,0.998657,1.022707,0.998657,1.008851,0.012879,0.032045,0.001892,0.013306,,0.245804,-0.879387,,0.406214,0.967405,,0.82726,0.142282
0.251419,0.255082,0.224806,0.244278,1.042605,1.042605,0.998657,1.017518,0.072941,0.072941,0.001892,0.029939,,0.251419,-0.935543,,0.366905,0.999512,,0.806629,0.159373
0.285113,0.285113,0.245804,0.259354,1.07581,1.07581,0.998657,1.030794,0.082097,0.082097,0.001892,0.042452,,0.285113,-0.958371,,0.314167,0.919917,,0.810535,0.049014
0.213087,0.285113,0.213087,0.248856,1.042971,1.07581,0.998657,1.040011,0.012269,0.082097,0.012269,0.045047,,0.213087,-0.96533,,0.409388,0.927608,,0.903192,0.100775
